Grid,MeanLapTime_sec,AirTemp,TrackTemp,Humidity,Rainfall,Team_Alfa Romeo,Team_Alfa Romeo Racing,Team_AlphaTauri,Team_Alpine,Team_Aston Martin,Team_Ferrari,Team_Force India,Team_Haas F1 Team,Team_Kick Sauber,Team_McLaren,Team_Mercedes,Team_RB,Team_Racing Point,Team_Red Bull Racing,Team_Renault,Team_Sauber,Team_Toro Rosso,Team_Williams,Team_nan
18.0,,18.568595041322315,29.82396694214876,54.85289256198346,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11.0,,9.499999999999998,16.360204081632652,59.40408163265305,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
19.0,,20.760740740740744,37.59555555555555,61.42444444444444,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
11.0,,24.312727272727273,41.689090909090915,34.442424242424245,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
7.0,,22.189898989898992,30.822222222222223,63.8070707070707,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1.0,,21.29140625,40.6328125,44.16796874999999,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1.0,,26.41513157894737,30.60328947368421,75.54013157894737,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
9.0,,16.717647058823534,19.930588235294113,86.21176470588236,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11.0,,26.69743589743589,37.40833333333334,43.65384615384615,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1.0,,23.617791411042944,28.61042944785276,29.49079754601227,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,,27.43163265306122,52.16938775510204,38.73979591836735,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
10.0,,21.473509933774835,30.94105960264901,56.18543046357616,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11.0,,21.93358778625954,30.486259541984733,37.555725190839695,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
17.0,,28.808536585365857,48.579268292682926,32.80487804878049,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10.0,,24.312727272727273,41.689090909090915,34.442424242424245,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3.0,,26.41513157894737,30.60328947368421,75.54013157894737,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18.0,,17.4,28.119166666666665,57.03,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1.0,,19.76356589147287,39.65426356589147,51.40852713178294,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
9.0,,28.575483870967748,34.310322580645156,61.68387096774194,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5.0,,26.018045112781955,29.566165413533835,64.47142857142858,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2.0,,27.28860759493671,42.070253164556966,42.31645569620253,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
13.0,,21.32846715328467,42.26715328467153,49.583941605839414,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
19.0,,20.50546875,25.715625,67.528125,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
7.0,,28.090909090909093,41.201398601398594,40.12447552447553,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
11.0,,29.844318181818185,36.42215909090909,72.0284090909091,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
12.0,,25.547368421052628,45.63947368421053,23.55263157894737,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
15.0,,27.226701570680625,37.822513089005234,68.61570680628273,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
4.0,,21.475572519083972,29.081679389312978,29.242748091603048,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
7.0,,20.762962962962963,41.261111111111106,28.925925925925927,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7.0,,36.56585365853658,48.957317073170735,7.109756097560975,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
