Season,Race,Driver,Team,Grid,Position,MeanLapTime,AirTemp,TrackTemp,Humidity,Rainfall,NumPitStops,PitStopLaps,PitCompounds,AvgPitStopDuration
2023,Azerbaijan Grand Prix,SAR,Williams,14.0,16.0,0 days 00:01:50.178680,24.860625,41.209999999999994,49.225,False,0,,,
2023,Azerbaijan Grand Prix,MAG,Haas F1 Team,16.0,13.0,0 days 00:01:49.524220,24.860625,41.209999999999994,49.225,False,0,,,
2023,Azerbaijan Grand Prix,DEV,AlphaTauri,18.0,20.0,0 days 00:01:50.627000,24.860625,41.209999999999994,49.225,False,0,,,
2023,Azerbaijan Grand Prix,TSU,AlphaTauri,8.0,10.0,0 days 00:01:49.888020,24.860625,41.209999999999994,49.225,False,0,,,
2023,Azerbaijan Grand Prix,ALB,Williams,12.0,12.0,0 days 00:01:50.805078431,24.860625,41.209999999999994,49.225,False,0,,,
2023,Azerbaijan Grand Prix,ZHO,Alfa Romeo,15.0,19.0,0 days 00:01:50.378235294,24.860625,41.209999999999994,49.225,False,0,,,
2023,Azerbaijan Grand Prix,HUL,Haas F1 Team,20.0,17.0,0 days 00:01:49.712645833,24.860625,41.209999999999994,49.225,False,0,,,
2023,Azerbaijan Grand Prix,OCO,Alpine,19.0,15.0,0 days 00:01:49.258040816,24.860625,41.209999999999994,49.225,False,0,,,
2023,Azerbaijan Grand Prix,NOR,McLaren,7.0,9.0,0 days 00:01:49.789300,24.860625,41.209999999999994,49.225,False,0,,,
2023,Azerbaijan Grand Prix,HAM,Mercedes,5.0,6.0,0 days 00:01:49.083680,24.860625,41.209999999999994,49.225,False,0,,,
2023,Azerbaijan Grand Prix,SAI,Ferrari,4.0,5.0,0 days 00:01:46.845750,24.860625,41.209999999999994,49.225,False,0,,,
2023,Azerbaijan Grand Prix,RUS,Mercedes,11.0,8.0,0 days 00:01:47.597041666,24.860625,41.209999999999994,49.225,False,0,,,
2023,Azerbaijan Grand Prix,BOT,Alfa Romeo,13.0,18.0,0 days 00:01:50.794306122,24.860625,41.209999999999994,49.225,False,0,,,
2023,Azerbaijan Grand Prix,PIA,McLaren,10.0,11.0,0 days 00:01:49.967680,24.860625,41.209999999999994,49.225,False,0,,,
2023,Miami Grand Prix,VER,Red Bull Racing,9.0,1.0,0 days 00:01:32.249842105,27.11741935483871,36.689032258064515,59.42580645161291,False,0,,,
2023,Miami Grand Prix,PER,Red Bull Racing,1.0,2.0,0 days 00:01:32.344298245,27.11741935483871,36.689032258064515,59.42580645161291,False,0,,,
